cod_reclamo,cod_representante,cod_pedido,cod_seguimiento,cod_tipo_reclamo,cod_nivel_urgencia,cod_estado_reclamo,comentario,fecha_suceso,fecha_reclamo
1,1,1,1,A,B,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/14,2024/03/18
2,2,2,2,G,B,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/11,2024/04/02
3,3,3,3,D,A,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/04/02,2024/03/18
4,4,4,4,D,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/26,2024/03/15
5,5,5,5,E,M,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/14,2024/03/12
6,6,6,6,B,A,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/26,2024/04/02
7,7,7,7,D,A,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/14,2024/03/21
8,8,8,8,D,B,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/04/03,2024/03/26
9,9,9,9,A,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/31,2024/03/21
10,10,10,10,G,B,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024/03/10,2024/03/29
11,11,11,11,B,A,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024/03/26,2024/03/31
12,12,12,12,F,B,B,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024/03/21,2024/03/14
13,13,13,13,C,B,D,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/17,2024/04/02
14,14,14,14,A,A,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/30,2024/04/01
15,15,15,15,F,M,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024/03/04,2024/03/25
16,16,16,16,D,A,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024/03/30,2024/03/27
17,17,17,17,B,A,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024/03/18,2024/03/08
18,18,18,18,F,B,B,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024/03/18,2024/03/18
19,19,19,19,B,M,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/13,2024/03/19
20,20,20,20,C,A,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/19,2024/03/19
21,21,21,21,D,M,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/18,2024/03/09
22,22,22,22,A,A,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/20,2024/03/09
23,23,23,23,B,M,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/09,2024/03/12
24,24,24,24,F,B,C,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024/04/03,2024/03/12
25,25,25,25,E,M,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/04/02,2024/03/27
26,26,26,26,E,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/14,2024/03/23
27,27,27,27,F,M,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/24,2024/03/23
28,28,28,28,B,A,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/17,2024/03/21
29,29,29,29,A,A,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/09,2024/04/06
30,30,30,30,C,M,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/04/02,2024/03/20
31,31,31,31,F,M,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/25,2024/04/04
32,32,32,32,C,M,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/19,2024/03/19
33,33,33,33,C,A,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/26,2024/04/03
34,34,34,34,G,B,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/29,2024/03/10
35,35,35,35,F,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/04/01,2024/03/20
36,36,36,36,D,M,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/20,2024/04/06
37,37,37,37,E,B,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/10,2024/03/22
38,38,38,38,D,M,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024/03/26,2024/04/04
39,39,39,39,E,A,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024/03/29,2024/03/26
40,40,40,40,D,B,A,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024/03/20,2024/03/22
41,41,41,41,E,M,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024/03/20,2024/03/14
42,42,42,42,E,A,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/21,2024/03/12
43,43,43,43,G,A,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024/03/07,2024/03/22
44,44,44,44,E,A,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/04/03,2024/03/23
45,45,45,45,D,B,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024/03/05,2024/03/30
46,46,46,46,D,B,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024/03/20,2024/03/15
47,47,47,47,A,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024/03/22,2024/03/13
48,48,48,48,G,M,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024/03/09,2024/04/07
